matricula;marca;modelo;precio;descuento;localizacion;tipo;kilometros;fecha matriculacion;potencia;garantia;puertas;cambio;imagen;descripcion
4018dim;chevrolet;cruze;1204.32;21.99;huesca;descapotable;326289;2006-02-26;72;30 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;dim estas con las letras de mi matricula
5559izz;audi;a4;5282.9;37.87;malaga;turismo;76902;1994-02-27;47;18 meses;5 puertas;manual;coche/cocheturquesa.jpeg;izz estas con las letras de mi matricula
0029vre;renault;megane;6161.34;39.59;ciudad real;turismo;447653;1976-05-10;6;24 meses;2 puertas;automatico;coche/cochemarron.jpg;vre estas con las letras de mi matricula
2643sak;bmw;serie 3;2063.51;7.43;burgos;turismo;370988;2020-09-17;192;14 meses;4 puertas;automatico;coche/cochenegro.jpg;sak estas con las letras de mi matricula
0277nvu;citroen;c3;3678.16;49.45;asturias;turismo;237312;1993-12-03;27;20 meses;3 puertas;automatico;coche/cocherojo.jpg;nvu estas con las letras de mi matricula
2258fsf;fiat;500;5745.71;90.03;barcelona;descapotable;184231;1986-03-27;56;14 meses;4 puertas;automatico;coche/cochenaranja.jpg;fsf estas con las letras de mi matricula
6980ddu;chevrolet;captiva;4982.04;77.1;leon;turismo;301300;1981-12-15;114;24 meses;2 puertas;manual;coche/cochenegro.jpg;ddu estas con las letras de mi matricula
8501kma;ford;tourne;44.24;11.65;murcia;descapotable;271916;1999-11-02;127;8 meses;5 puertas;automatico;coche/cochemarron.jpg;kma estas con las letras de mi matricula
9684sdu;citroen;aircross;2693.28;18.45;avila;sedan;457211;1996-08-08;90;22 meses;2 puertas;automatico;coche/cocherojo.jpg;sdu estas con las letras de mi matricula
0168zww;ford;mondeo;1784.89;22.3;malaga;sedan;169307;1976-04-12;33;6 meses;5 puertas;automatico;coche/cochenaranja.jpg;zww estas con las letras de mi matricula
3463pbf;kia;rio;5742.08;29.44;palencia;sedan;490480;2009-11-13;135;8 meses;5 puertas;automatico;coche/cochegranate.jpg;pbf estas con las letras de mi matricula
9760hql;mercedes;clase c;1234.01;39.41;navarra;sedan;167218;1989-04-28;45;30 meses;2 puertas;automatico;coche/cochemarron.jpg;hql estas con las letras de mi matricula
1180dhr;citroen;c4;4309.39;1.43;albacete;turismo;356315;2005-03-21;178;12 meses;5 puertas;manual;coche/cocheturquesa.jpeg;dhr estas con las letras de mi matricula
2413hfr;honda;hr-v;7854.63;49.42;salamanca;turismo;115848;1975-09-08;71;16 meses;3 puertas;automatico;coche/cocherojo.jpg;hfr estas con las letras de mi matricula
2188agg;renault;captur;1866.03;68.21;palencia;sedan;942;2011-06-14;164;12 meses;5 puertas;automatico;coche/cochenaranja.jpg;agg estas con las letras de mi matricula
4309ynn;seat;cordoba;1580.11;88.1;santa cruz de tenerife;descapotable;54380;1977-02-25;21;16 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;ynn estas con las letras de mi matricula
6498irr;honda;cr-v;8980.5;72.5;teruel;sedan;174060;1975-01-30;138;30 meses;3 puertas;manual;coche/cochenaranja.jpg;irr estas con las letras de mi matricula
2748kdu;bmw;serie 1;2810.4;82.45;ciudad real;sedan;317657;2011-04-18;132;30 meses;3 puertas;automatico;coche/cocherojo.jpg;kdu estas con las letras de mi matricula
9458fok;mercedes;clase a;5643.88;97.97;guipuzcoa;turismo;293062;1979-11-11;190;4 meses;2 puertas;manual;coche/cochegranate.jpg;fok estas con las letras de mi matricula
8176wkz;ford;tourne;4345.22;28.73;lleida;turismo;175493;1990-10-06;79;16 meses;2 puertas;manual;coche/cocherojo.jpg;wkz estas con las letras de mi matricula
5928eoz;renault;captur;3967.15;5.97;huesca;sedan;345266;2021-10-29;31;8 meses;2 puertas;automatico;coche/cochenegro.jpg;eoz estas con las letras de mi matricula
9510tqh;chevrolet;camaro;2806.61;37.45;caceres;descapotable;315839;1985-11-20;167;16 meses;4 puertas;manual;coche/cocherojo.jpg;tqh estas con las letras de mi matricula
9592tge;hyhundai;bayon;1237.91;55.53;salamanca;sedan;370353;1970-12-14;153;2 meses;5 puertas;manual;coche/cochenegro.jpg;tge estas con las letras de mi matricula
7683irg;honda;hr-v;7733.01;25.38;a coruna;sedan;244354;2018-08-31;172;24 meses;2 puertas;manual;coche/cocheturquesa.jpeg;irg estas con las letras de mi matricula
2795dtz;land rover;defender;5570.64;7.56;segovia;descapotable;203063;1987-03-21;10;8 meses;5 puertas;manual;coche/cochemarron.jpg;dtz estas con las letras de mi matricula
3293yth;renault;captur;2955.78;9.95;jaen;descapotable;291554;2013-12-08;145;18 meses;2 puertas;manual;coche/cocherojo.jpg;yth estas con las letras de mi matricula
